,Autoridad,Entidad,Ano,Tipo,Descripcion,Cantidad
2171,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,"OMITIR DAR INFORMACION AL INCULPADO SOBRE QUIEN Y DE QUE DELITO SE LE ACUSA, ASI COMO EL PROCEDIMIENTO EN GENERAL",2
2172,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,OMITIR EL EJERCICIO DEL PRINCIPIO DE LA EXACTA APLICACION DE LA LEY,2
2173,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,2
2174,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,RETARDAR O ENTORPECER LA FUNCION DE INVESTIGACION O PROCURACION DE JUSTICIA,2
2175,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,ABSTENERSE INJUSTIFICADAMENTE DE EJERCITAR ACCION PENAL,1
2176,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,ACCIONES U OMISIONES CONTRARIAS A LOS DERECHOS A LAS PERSONAS PRIVADAS DE SU LIBERTAD,1
2177,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",1
2178,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,1
2179,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,OBLIGAR A DECLARAR,1
2180,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,1
2181,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,OMITIR BRINDAR PROTECCION Y AUXILIO,1
2182,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,1
2183,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,OMITIR OBSERVAR EL DERECHO A LA PRESUNCION DE INOCENCIA,1
2184,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,RETENCION ILEGAL,1
2185,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Hecho_Violatorio,SEPARAR AL MENOR DE EDAD DE SUS PADRES,1
2186,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Motivo_Conclusion,ORIENTACION,4
2187,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Motivo_Conclusion,ACUMULACION,3
2188,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Motivo_Conclusion,FALTA DE INTERES PROCESAL DEL QUEJOSO,3
2189,PROCURADURIA GENERAL DE LA REPUBLICA,MICHOACAN,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,1
2190,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,DETENCION ARBITRARIA,9
2191,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,7
2192,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",2
2193,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,OBLIGAR A DECLARAR,2
2194,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",2
2195,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,1
2196,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,"EFECTUAR UNA DETENCION SIN CONTAR CON LA ORDEN CORRESPONDIENTE, FUERA DE LOS CASOS DE FLAGRANCIA",1
2197,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,EJERCER VIOLENCIA DESPROPORCIONADA DURANTE LA DETENCION,1
2198,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,INCOMUNICACION,1
2199,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,INTIMIDACION,1
2200,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,LIBERAR O PONER A DISPOSICION DE LA AUTORIDAD JURISDICCIONAL A UN INCULPADO DESPUES DE TRASCURRIDO EL TIEMPO LEGAL PARA ELLO,1
2201,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,OMITIR BRINDAR PROTECCION Y AUXILIO,1
2202,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,OMITIR EL EJERCICIO DEL PRINCIPIO DE LA EXACTA APLICACION DE LA LEY,1
2203,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,1
2204,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,1
2205,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,1
2206,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",1
2207,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Hecho_Violatorio,RETENCION ILEGAL,1
2208,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Motivo_Conclusion,ACUMULACION,1
2209,PROCURADURIA GENERAL DE LA REPUBLICA,MORELOS,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,1
2210,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,11
2211,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,DETENCION ARBITRARIA,4
2212,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,ACCIONES U OMISIONES CONTRARIAS A LOS DERECHOS A LAS PERSONAS PRIVADAS DE SU LIBERTAD,2
2213,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,2
2214,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,NEGAR LA RECEPCION DE UNA DENUNCIA,1
2215,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,1
2216,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,1
2217,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,OMITIR OBSERVAR LOS PLAZOS QUE FIJA LA LEY EN EL PROCEDIMIENTO AL MINISTERIO PUBLICO,1
2218,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,RETARDAR O ENTORPECER LA FUNCION DE INVESTIGACION O PROCURACION DE JUSTICIA,1
2219,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",1
2220,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,3
2221,PROCURADURIA GENERAL DE LA REPUBLICA,NAYARIT,2014,Motivo_Conclusion,ORIENTACION,1
2222,PROCURADURIA GENERAL DE LA REPUBLICA,NUEVO LEON,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,2
2223,PROCURADURIA GENERAL DE LA REPUBLICA,NUEVO LEON,2014,Hecho_Violatorio,DETENCION ARBITRARIA,1
2224,PROCURADURIA GENERAL DE LA REPUBLICA,NUEVO LEON,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",1
2225,PROCURADURIA GENERAL DE LA REPUBLICA,NUEVO LEON,2014,Hecho_Violatorio,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,1
2226,PROCURADURIA GENERAL DE LA REPUBLICA,NUEVO LEON,2014,Hecho_Violatorio,INTIMIDACION,1
2227,PROCURADURIA GENERAL DE LA REPUBLICA,NUEVO LEON,2014,Hecho_Violatorio,OBLIGAR A DECLARAR,1
2228,PROCURADURIA GENERAL DE LA REPUBLICA,NUEVO LEON,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,1
2229,PROCURADURIA GENERAL DE LA REPUBLICA,NUEVO LEON,2014,Motivo_Conclusion,ORIENTACION,1
2230,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",9
2231,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,9
2232,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,DETENCION ARBITRARIA,7
2233,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,4
2234,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,4
2235,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,4
2236,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"EFECTUAR UNA DETENCION SIN CONTAR CON LA ORDEN CORRESPONDIENTE, FUERA DE LOS CASOS DE FLAGRANCIA",3
2237,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",2
2238,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,2
2239,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,OBLIGAR A DECLARAR,2
2240,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"OCUPAR, DETERIORAR O DESTRUIR ILEGALMENTE PROPIEDAD PRIVADA",2
2241,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"OMITIR CUSTODIAR, VIGILAR, PROTEGER, ESTABLECER MEDIDAS CAUTELARES Y/O DAR SEGURIDAD A PERSONAS",2
2242,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,PRACTICAR DE MANERA NEGLIGENTE LAS DILIGENCIAS,2
2243,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",2
2244,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,EJERCER VIOLENCIA DESPROPORCIONADA DURANTE LA DETENCION,1
2245,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,1
2246,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,IMPUTAR INDEBIDAMENTE HECHOS,1
2247,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",1
2248,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,INTIMIDACION,1
2249,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,OMITIR BRINDAR PROTECCION Y AUXILIO,1
2250,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"OMITIR CUSTODIAR, VIGILAR, PROTEGER Y/O DAR SEGURIDAD A LUGARES, INSTALACIONES O BIENES EN GENERAL, AFECTANDO LOS DERECHOS DE TERCEROS",1
2251,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,1
2252,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,1
2253,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,"OMITIR, SUSPENDER, RETRASAR O BRINDAR DEFICIENTEMENTE LOS SERVICIOS, EN MATERIA DE SEGURIDAD PUBLICA",1
2254,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Hecho_Violatorio,RETENCION ILEGAL,1
2255,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,4
2256,PROCURADURIA GENERAL DE LA REPUBLICA,OAXACA,2014,Motivo_Conclusion,ORIENTACION,2
2257,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",2
2258,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Hecho_Violatorio,CONSIGNAR LA AVERIGUACION PREVIA SIN ELEMENTOS SUFICIENTES,1
2259,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Hecho_Violatorio,DETENCION ARBITRARIA,1
2260,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Hecho_Violatorio,INCOMUNICACION,1
2261,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Hecho_Violatorio,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,1
2262,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Hecho_Violatorio,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",1
2263,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,1
2264,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",1
2265,PROCURADURIA GENERAL DE LA REPUBLICA,PUEBLA,2014,Motivo_Conclusion,ORIENTACION,2
2266,PROCURADURIA GENERAL DE LA REPUBLICA,QUERETARO,2014,Hecho_Violatorio,OMITIR DAR CUMPLIMIENTO A LA SENTENCIA QUE ORDENA LA RESTITUCION DE LOS BIENES DESPOJADOS,1
2267,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,DETENCION ARBITRARIA,2
2268,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",2
2269,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",1
2270,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,"EFECTUAR UNA DETENCION SIN CONTAR CON LA ORDEN CORRESPONDIENTE, FUERA DE LOS CASOS DE FLAGRANCIA",1
2271,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,1
2272,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",1
2273,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,1
2274,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,INTIMIDACION,1
2275,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,NO SE PUEDE DETERMINAR,1
2276,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,"OCUPAR, DETERIORAR O DESTRUIR ILEGALMENTE PROPIEDAD PRIVADA",1
2277,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,1
2278,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,1
2279,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,1
2280,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,1
2281,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Hecho_Violatorio,RETENCION ILEGAL,1
2282,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,1
2283,PROCURADURIA GENERAL DE LA REPUBLICA,QUINTANA ROO,2014,Motivo_Conclusion,ORIENTACION,1
2284,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",4
2285,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,ACCIONES U OMISIONES CONTRARIAS A LOS DERECHOS A LAS PERSONAS PRIVADAS DE SU LIBERTAD,2
2286,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,DETENCION ARBITRARIA,2
2287,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",2
2288,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,INTIMIDACION,2
2289,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,OBLIGAR A DECLARAR,2
2290,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,2
2291,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,2
2292,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,2
2293,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,1
2294,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",1
2295,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,1
2296,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,"OMITIR BRINDAR LA ATENCION, CUIDADOS O PRESTAR AUXILIO A CUALQUIER PERSONA TENIENDO LA OBLIGACION DE HACERLO",1
2297,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",1
2298,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Hecho_Violatorio,OMITIR PRESERVAR LA INTEGRIDAD DE LA PERSONA ARRAIGADA,1
2299,PROCURADURIA GENERAL DE LA REPUBLICA,SINALOA,2014,Motivo_Conclusion,ACUMULACION,1
2300,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",14
2301,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,12
2302,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",6
2303,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,DETENCION ARBITRARIA,4
2304,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,RETENCION ILEGAL,3
2305,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,DETERMINAR INDEBIDAMENTE EL NO EJERCICIO DE LA ACCION PENAL,2
2306,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,2
2307,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,ABSTENERSE DE PRACTICAR DILIGENCIAS PARA ACREDITAR LA PROBABLE RESPONSABILIDAD DEL INCULPADO,1
2308,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,1
2309,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",1
2310,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,"EFECTUAR UNA DETENCION SIN CONTAR CON LA ORDEN CORRESPONDIENTE, FUERA DE LOS CASOS DE FLAGRANCIA",1
2311,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",1
2312,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,INTIMIDACION,1
2313,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,NEGAR LA RECEPCION DE UNA DENUNCIA,1
2314,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,OBSTACULIZAR LA SALIDA DEL PAIS,1
2315,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,1
2316,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,1
2317,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,OMITIR LA CONSIGNACION DE LA AVERIGUACION PREVIA CUANDO EXISTEN LOS ELEMENTOS,1
2318,PROCURADURIA GENERAL DE LA REPUBLICA,SAN LUIS POTOSI,2014,Hecho_Violatorio,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",1
