,Hecho_Violatorio,Autoridad,Ano,Entidad,Municipio,Cantidad_Quejas
2375,DETENCION ARBITRARIA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TURICATO,2
2376,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TURICATO,1
2377,RETENCION ILEGAL,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TURICATO,1
2378,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TURICATO,1
2379,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ZAMORA,1
2380,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ZAMORA,1
2381,INTIMIDACION,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ZAMORA,1
2382,OMITIR BRINDAR PROTECCION Y AUXILIO,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ZAMORA,1
2383,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ZAMORA,1
2384,SEPARAR AL MENOR DE EDAD DE SUS PADRES,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ZAMORA,1
2385,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ZAMORA,1
2386,NO SE PUEDE DETERMINAR,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,AGUILILLA,1
2387,INTIMIDACION,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,AQUILA,1
2388,DETENCION ARBITRARIA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ARTEAGA,1
2389,IMPUTAR INDEBIDAMENTE HECHOS,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ARTEAGA,1
2390,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ARTEAGA,1
2391,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,ECUANDUREO,1
2392,OMITIR EL EJERCICIO DEL PRINCIPIO DE LA EXACTA APLICACION DE LA LEY,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,LA HUACANA,1
2393,PRIVAR DE LA VIDA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,LA HUACANA,1
2394,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,LA HUACANA,1
2395,IMPONER CONDUCTAS CONTRARIAS A LA LIBERTAD SEXUAL,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,LA PIEDAD,1
2396,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,LA PIEDAD,1
2397,DETENCION ARBITRARIA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,MADERO,1
2398,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,MADERO,1
2399,RETENCION ILEGAL,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,MADERO,1
2400,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,MADERO,1
2401,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,PANINDICUARO,1
2402,INTIMIDACION,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,PANINDICUARO,1
2403,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,PUREPERO,1
2404,DETENCION ARBITRARIA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TANCITARO,1
2405,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TANCITARO,1
2406,DETENCION ARBITRARIA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TIQUICHEO DE NICOLAS ROMERO,1
2407,"EFECTUAR UNA DETENCION SIN CONTAR CON LA ORDEN CORRESPONDIENTE, FUERA DE LOS CASOS DE FLAGRANCIA",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TIQUICHEO DE NICOLAS ROMERO,1
2408,IMPUTAR INDEBIDAMENTE HECHOS,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TIQUICHEO DE NICOLAS ROMERO,1
2409,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TIQUICHEO DE NICOLAS ROMERO,1
2410,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TIQUICHEO DE NICOLAS ROMERO,1
2411,DIFERIR LA PRESENTACION DEL DETENIDO ANTE LA AUTORIDAD COMPETENTE,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TOCUMBO,1
2412,OMITIR EL EJERCICIO DEL PRINCIPIO DE LA EXACTA APLICACION DE LA LEY,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TOCUMBO,1
2413,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TOCUMBO,1
2414,ACTOS Y OMISIONES CONTRARIOS A LA VIDA FAMILIAR,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TUMBISCATIO,1
2415,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TUMBISCATIO,1
2416,ENTREGAR INDEBIDAMENTE BIENES RETENIDOS,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TUMBISCATIO,1
2417,"OCUPAR, DETERIORAR O DESTRUIR ILEGALMENTE PROPIEDAD PRIVADA",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TUMBISCATIO,1
2418,OMITIR BRINDAR PROTECCION Y AUXILIO,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TUMBISCATIO,1
2419,"OMITIR CUSTODIAR, VIGILAR, PROTEGER Y/O DAR SEGURIDAD A LUGARES, INSTALACIONES O BIENES EN GENERAL, AFECTANDO LOS DERECHOS DE TERCEROS",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TUMBISCATIO,1
2420,"OMITIR CUSTODIAR, VIGILAR, PROTEGER, ESTABLECER MEDIDAS CAUTELARES Y/O DAR SEGURIDAD A PERSONAS",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TUMBISCATIO,1
2421,"OMITIR O RECHAZAR INFUNDADAMENTE LA INSCRIPCION DE UN TITULO, UN DOCUMENTO LEGALMENTE REQUISITADO O UNA RESOLUCION JUDICIAL QUE AMPARE UN DERECHO A FAVOR DE UNA O VARIAS PERSONAS, EN UN REGISTRO PUBLICO",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,TUMBISCATIO,1
2422,DETENCION ARBITRARIA,SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,VILLAMAR,1
2423,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE LA DEFENSA NACIONAL,2014,MICHOACAN,VILLAMAR,1
2424,DETENCION ARBITRARIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,3
2425,PRACTICAR DE MANERA NEGLIGENTE LAS DILIGENCIAS,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,3
2426,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,2
2427,"TRATO CRUEL, INHUMANO O DEGRADANTE",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,2
2428,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,1
2429,IMPUTAR INDEBIDAMENTE HECHOS,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,1
2430,INCOMUNICACION,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,1
2431,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,1
2432,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,1
2433,OMITIR OBSERVAR EL DERECHO A LA PRESUNCION DE INOCENCIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,APATZINGAN,1
2434,"TRATO CRUEL, INHUMANO O DEGRADANTE",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,3
2435,DETENCION ARBITRARIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,2
2436,"EFECTUAR UNA DETENCION SIN CONTAR CON LA ORDEN CORRESPONDIENTE, FUERA DE LOS CASOS DE FLAGRANCIA",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,2
2437,IMPUTAR INDEBIDAMENTE HECHOS,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,2
2438,INTIMIDACION,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,2
2439,OMITIR DAR INFORMACION,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,2
2440,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,2
2441,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,1
2442,"OMITIR DAR INFORMACION AL INCULPADO SOBRE QUIEN Y DE QUE DELITO SE LE ACUSA, ASI COMO EL PROCEDIMIENTO EN GENERAL",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,1
2443,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MORELIA,1
2444,DETENCION ARBITRARIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,3
2445,IMPUTAR INDEBIDAMENTE HECHOS,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,3
2446,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,2
2447,OMITIR EL EJERCICIO DEL PRINCIPIO DE LA EXACTA APLICACION DE LA LEY,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,2
2448,"TRATO CRUEL, INHUMANO O DEGRADANTE",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,2
2449,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,1
2450,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,1
2451,OBLIGAR A DECLARAR,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,1
2452,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,1
2453,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,1
2454,"OMITIR, OBSTACULIZAR O IMPEDIR LA COMUNICACION CON SU DEFENSOR O SUS FAMILIARES",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,1
2455,RETENCION ILEGAL,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LAZARO CARDENAS,1
2456,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,ZAMORA,5
2457,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,ZAMORA,5
2458,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,ZAMORA,2
2459,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,ZAMORA,1
2460,OMITIR BRINDAR PROTECCION Y AUXILIO,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,ZAMORA,1
2461,SEPARAR AL MENOR DE EDAD DE SUS PADRES,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,ZAMORA,1
2462,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,(SIN DATO),1
2463,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,(SIN DATO),1
2464,RETARDAR O ENTORPECER LA FUNCION DE INVESTIGACION O PROCURACION DE JUSTICIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,(SIN DATO),1
2465,INCOMUNICACION,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,COAHUAYANA,2
2466,"OMITIR, OBSTACULIZAR O IMPEDIR LA COMUNICACION CON SU DEFENSOR O SUS FAMILIARES",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,COAHUAYANA,2
2467,INTEGRAR LA AVERIGUACION PREVIA DE MANERA IRREGULAR O DEFICIENTE,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,COAHUAYANA,1
2468,"OMITIR DAR INFORMACION AL INCULPADO SOBRE QUIEN Y DE QUE DELITO SE LE ACUSA, ASI COMO EL PROCEDIMIENTO EN GENERAL",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,COAHUAYANA,1
2469,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,COAHUAYANA,1
2470,PRACTICAR DE MANERA NEGLIGENTE LAS DILIGENCIAS,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,COAHUAYANA,1
2471,DETENCION ARBITRARIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,URUAPAN,2
2472,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,URUAPAN,1
2473,INTIMIDACION,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,AQUILA,1
2474,ACCIONES U OMISIONES CONTRARIAS A LOS DERECHOS A LAS PERSONAS PRIVADAS DE SU LIBERTAD,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,LOS REYES,1
2475,DETENCION ARBITRARIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MADERO,1
2476,"TRATO CRUEL, INHUMANO O DEGRADANTE",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,MADERO,1
2477,ABSTENERSE INJUSTIFICADAMENTE DE EJERCITAR ACCION PENAL,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,TEPALCATEPEC,1
2478,RETARDAR O ENTORPECER LA FUNCION DE INVESTIGACION O PROCURACION DE JUSTICIA,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,TEPALCATEPEC,1
2479,"TRATO CRUEL, INHUMANO O DEGRADANTE",PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,ZACAPU,1
2480,INCOMUNICACION,PROCURADURIA GENERAL DE LA REPUBLICA,2014,MICHOACAN,ZITACUARO,1
2481,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,8
2482,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,4
2483,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,4
2484,IMPUTAR INDEBIDAMENTE HECHOS,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,3
2485,INCOMUNICACION,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,3
2486,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,3
2487,"EFECTUAR UNA DETENCION SIN CONTAR CON LA ORDEN CORRESPONDIENTE, FUERA DE LOS CASOS DE FLAGRANCIA",SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,2
2488,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,2
2489,CAUSAR UN DAÑO DERIVADO DEL EMPLEO ARBITRARIO DE LA FUERZA PUBLICA,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2490,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2491,OBLIGAR A DECLARAR,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2492,"OCUPAR, DETERIORAR O DESTRUIR ILEGALMENTE PROPIEDAD PRIVADA",SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2493,OMITIR EL EJERCICIO DEL PRINCIPIO DE LA EXACTA APLICACION DE LA LEY,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2494,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2495,"OMITIR, OBSTACULIZAR O IMPEDIR LA COMUNICACION CON SU DEFENSOR O SUS FAMILIARES",SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2496,RESTRINGIR EL DERECHO DE EXPRESION POR VIAS O MEDIOS INDIRECTOS,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2497,RETENCION ILEGAL,SECRETARIA DE MARINA,2014,MICHOACAN,LAZARO CARDENAS,1
2498,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE MARINA,2014,MICHOACAN,ARTEAGA,4
2499,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",SECRETARIA DE MARINA,2014,MICHOACAN,ARTEAGA,3
2500,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,MICHOACAN,ARTEAGA,3
2501,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,MICHOACAN,ARTEAGA,2
2502,INTIMIDACION,SECRETARIA DE MARINA,2014,MICHOACAN,ARTEAGA,1
2503,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,MICHOACAN,TUMBISCATIO,2
2504,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE MARINA,2014,MICHOACAN,TUMBISCATIO,2
2505,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE MARINA,2014,MICHOACAN,TUMBISCATIO,2
2506,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,MICHOACAN,TUMBISCATIO,2
2507,"EFECTUAR UNA DETENCION SIN CONTAR CON LA ORDEN CORRESPONDIENTE, FUERA DE LOS CASOS DE FLAGRANCIA",SECRETARIA DE MARINA,2014,MICHOACAN,TUMBISCATIO,1
2508,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,SECRETARIA DE MARINA,2014,MICHOACAN,TUMBISCATIO,1
2509,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE MARINA,2014,MICHOACAN,TUMBISCATIO,1
2510,INTIMIDACION,SECRETARIA DE MARINA,2014,MICHOACAN,TUMBISCATIO,1
2511,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,MICHOACAN,APATZINGAN,1
2512,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE MARINA,2014,MICHOACAN,APATZINGAN,1
2513,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,MICHOACAN,APATZINGAN,1
2514,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,MICHOACAN,GABRIEL ZAMORA,1
2515,IMPUTAR INDEBIDAMENTE HECHOS,SECRETARIA DE MARINA,2014,MICHOACAN,GABRIEL ZAMORA,1
2516,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",SECRETARIA DE MARINA,2014,MICHOACAN,JIQUILPAN,1
2517,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,MICHOACAN,JIQUILPAN,1
2518,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE MARINA,2014,MICHOACAN,JIQUILPAN,1
2519,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE MARINA,2014,MICHOACAN,JIQUILPAN,1
2520,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,SECRETARIA DE MARINA,2014,MICHOACAN,LA HUACANA,1
2521,IMPUTAR INDEBIDAMENTE HECHOS,SECRETARIA DE MARINA,2014,MICHOACAN,LA HUACANA,1
2522,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE MARINA,2014,MICHOACAN,LA HUACANA,1
2523,"OCUPAR, DETERIORAR O DESTRUIR ILEGALMENTE PROPIEDAD PRIVADA",SECRETARIA DE MARINA,2014,MICHOACAN,LA HUACANA,1
2524,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,MICHOACAN,URUAPAN,1
2525,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,MICHOACAN,URUAPAN,1
2526,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,MICHOACAN,ZAMORA,1
2527,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,MICHOACAN,ZAMORA,1
2528,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO DEL FONDO NACIONAL DE LA VIVIENDA PARA LOS TRABAJADORES,2014,MICHOACAN,LAZARO CARDENAS,6
2529,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO DEL FONDO NACIONAL DE LA VIVIENDA PARA LOS TRABAJADORES,2014,MICHOACAN,LAZARO CARDENAS,2
